time,ambient_temp,room_temp,humidity,command,energy,total_energy,reason,discomfort,cost
2019-11-01 05:00:09.189,25.2,25.2,59.5,off,0.0,0.0,Passive simulation: HVAC always off,3.1999999999999993,0.0
2019-11-01 05:00:14.189,25.2,25.2,59.5,off,0.0,0.0,Passive simulation: HVAC always off,3.1999999999999993,0.0
2019-11-01 05:00:19.189,25.2,25.2,59.5,off,0.0,0.0,Passive simulation: HVAC always off,3.1999999999999993,0.0
2019-11-01 05:00:24.189,25.2,25.2,59.5,off,0.0,0.0,Passive simulation: HVAC always off,3.1999999999999993,0.0
2019-11-01 05:00:29.189,25.2,25.2,59.5,off,0.0,0.0,Passive simulation: HVAC always off,3.1999999999999993,0.0
2019-11-01 05:00:34.189,25.2,25.2,59.5,off,0.0,0.0,Passive simulation: HVAC always off,3.1999999999999993,0.0
2019-11-01 05:00:39.189,25.2,25.2,59.5,off,0.0,0.0,Passive simulation: HVAC always off,3.1999999999999993,0.0
2019-11-01 05:00:44.189,24.25,25.16,61.4,off,0.0,0.0,Passive simulation: HVAC always off,3.162279999999999,0.0
2019-11-01 05:00:49.189,24.25,25.12,61.4,off,0.0,0.0,Passive simulation: HVAC always off,3.124559999999999,0.0
2019-11-01 05:00:54.189,24.57,25.09,60.77,off,0.0,0.0,Passive simulation: HVAC always off,3.086713333333332,0.0
2019-11-01 05:00:59.189,24.57,25.05,60.77,off,0.0,0.0,Passive simulation: HVAC always off,3.0488666666666653,0.0
2019-11-01 05:01:04.189,23.9,25.01,61.38,off,0.0,0.0,Passive simulation: HVAC always off,3.011141666666667,0.0
2019-11-01 05:01:09.189,23.9,24.97,61.38,off,0.0,0.0,Passive simulation: HVAC always off,2.973416666666669,0.0
2019-11-01 05:01:14.189,23.9,24.94,61.38,off,0.0,0.0,Passive simulation: HVAC always off,2.9356916666666706,0.0
2019-11-01 05:01:19.189,23.9,24.9,61.38,off,0.0,0.0,Passive simulation: HVAC always off,2.8979666666666724,0.0
2019-11-01 05:01:24.189,24.53,24.86,60.98,off,0.0,0.0,Passive simulation: HVAC always off,2.860162666666671,0.0
2019-11-01 05:01:29.189,24.53,24.82,60.98,off,0.0,0.0,Passive simulation: HVAC always off,2.82235866666667,0.0
2019-11-01 05:01:34.189,23.93,24.78,61.37,off,0.0,0.0,Passive simulation: HVAC always off,2.784632000000002,0.0
2019-11-01 05:01:39.189,23.93,24.75,61.37,off,0.0,0.0,Passive simulation: HVAC always off,2.746905333333334,0.0
2019-11-01 05:01:44.189,24.57,24.71,61.1,off,0.0,0.0,Passive simulation: HVAC always off,2.7091253333333327,0.0
2019-11-01 05:01:49.189,24.57,24.67,61.1,off,0.0,0.0,Passive simulation: HVAC always off,2.6713453333333312,0.0
2019-11-01 05:01:54.189,24.07,24.63,61.0,off,0.0,0.0,Passive simulation: HVAC always off,2.6335453333333305,0.0
2019-11-01 05:01:59.189,24.07,24.6,61.0,off,0.0,0.0,Passive simulation: HVAC always off,2.59574533333333,0.0
2019-11-01 05:02:04.189,24.07,24.56,61.0,off,0.0,0.0,Passive simulation: HVAC always off,2.557945333333329,0.0
2019-11-01 05:02:09.189,24.67,24.6,60.83,off,0.0,0.0,Passive simulation: HVAC always off,2.5957786666666607,0.0
2019-11-01 05:02:14.189,24.67,24.63,60.83,off,0.0,0.0,Passive simulation: HVAC always off,2.6336119999999923,0.0
2019-11-01 05:02:19.189,24.67,24.67,60.83,off,0.0,0.0,Passive simulation: HVAC always off,2.666666666666668,0.0
2019-11-01 05:02:24.189,24.67,24.67,60.83,off,0.0,0.0,Passive simulation: HVAC always off,2.666666666666668,0.0
2019-11-01 05:02:29.189,24.2,24.63,60.77,off,0.0,0.0,Passive simulation: HVAC always off,2.6288206666666696,0.0
2019-11-01 05:02:34.189,24.2,24.59,60.77,off,0.0,0.0,Passive simulation: HVAC always off,2.5909746666666713,0.0
2019-11-01 05:02:39.189,24.2,24.55,60.77,off,0.0,0.0,Passive simulation: HVAC always off,2.553128666666673,0.0
2019-11-01 05:02:44.189,24.7,24.59,60.65,off,0.0,0.0,Passive simulation: HVAC always off,2.5909977575757637,0.0
2019-11-01 05:02:49.189,24.7,24.63,60.65,off,0.0,0.0,Passive simulation: HVAC always off,2.6288668484848543,0.0
2019-11-01 05:02:54.189,24.07,24.59,60.88,off,0.0,0.0,Passive simulation: HVAC always off,2.5910418484848527,0.0
2019-11-01 05:02:59.189,24.03,24.55,60.85,off,0.0,0.0,Passive simulation: HVAC always off,2.5532110792540834,0.0
2019-11-01 05:03:04.189,24.03,24.52,60.85,off,0.0,0.0,Passive simulation: HVAC always off,2.515380310023314,0.0
2019-11-01 05:03:09.189,24.03,24.48,60.85,off,0.0,0.0,Passive simulation: HVAC always off,2.4775495407925447,0.0
2019-11-01 05:03:14.189,24.03,24.44,60.85,off,0.0,0.0,Passive simulation: HVAC always off,2.4397187715617754,0.0
2019-11-01 05:03:19.189,24.03,24.4,60.76,off,0.0,0.0,Passive simulation: HVAC always off,2.401870200133203,0.0
2019-11-01 05:03:24.189,24.03,24.36,60.76,off,0.0,0.0,Passive simulation: HVAC always off,2.3640216287046307,0.0
2019-11-01 05:03:29.189,24.03,24.33,60.76,off,0.0,0.0,Passive simulation: HVAC always off,2.3261730572760584,0.0
2019-11-01 05:03:34.189,24.03,24.29,60.76,off,0.0,0.0,Passive simulation: HVAC always off,2.288324485847486,0.0
2019-11-01 05:03:39.189,24.07,24.25,60.86,off,0.0,0.0,Passive simulation: HVAC always off,2.2504969858474873,0.0
2019-11-01 05:03:44.189,24.07,24.21,60.86,off,0.0,0.0,Passive simulation: HVAC always off,2.2126694858474885,0.0
2019-11-01 05:03:49.189,23.57,24.17,60.82,off,0.0,0.0,Passive simulation: HVAC always off,2.174833015259253,0.0
2019-11-01 05:03:54.189,23.57,24.14,60.82,off,0.0,0.0,Passive simulation: HVAC always off,2.1369965446710175,0.0
2019-11-01 05:03:59.189,24.07,24.1,60.74,off,0.0,0.0,Passive simulation: HVAC always off,2.099145433559908,0.0
2019-11-01 05:04:04.189,24.07,24.07,60.74,off,0.0,0.0,Passive simulation: HVAC always off,2.0666666666666664,0.0
2019-11-01 05:04:09.189,24.07,24.07,60.74,off,0.0,0.0,Passive simulation: HVAC always off,2.0666666666666664,0.0
2019-11-01 05:04:14.189,24.07,24.07,60.74,off,0.0,0.0,Passive simulation: HVAC always off,2.0666666666666664,0.0
2019-11-01 05:04:19.189,24.1,24.1,60.87,off,0.0,0.0,Passive simulation: HVAC always off,2.099999999999998,0.0
2019-11-01 05:04:24.189,24.1,24.1,60.87,off,0.0,0.0,Passive simulation: HVAC always off,2.099999999999998,0.0
2019-11-01 05:04:29.189,23.43,24.06,60.94,off,0.0,0.0,Passive simulation: HVAC always off,2.062188571428571,0.0
2019-11-01 05:04:34.189,23.43,24.02,60.94,off,0.0,0.0,Passive simulation: HVAC always off,2.024377142857144,0.0
2019-11-01 05:04:39.189,23.43,23.99,60.94,off,0.0,0.0,Passive simulation: HVAC always off,1.9865657142857174,0.0
2019-11-01 05:04:44.189,23.43,23.95,60.94,off,0.0,0.0,Passive simulation: HVAC always off,1.9487542857142905,0.0
2019-11-01 05:04:49.189,23.43,23.91,60.94,off,0.0,0.0,Passive simulation: HVAC always off,1.9109428571428637,0.0
2019-11-01 05:04:54.189,23.43,23.87,61.05,off,0.0,0.0,Passive simulation: HVAC always off,1.8731519480519552,0.0
2019-11-01 05:04:59.189,23.43,23.84,61.05,off,0.0,0.0,Passive simulation: HVAC always off,1.8353610389610466,0.0
2019-11-01 05:05:04.189,23.43,23.8,61.05,off,0.0,0.0,Passive simulation: HVAC always off,1.797570129870138,0.0
2019-11-01 05:05:09.189,24.1,23.84,60.98,off,0.0,0.0,Passive simulation: HVAC always off,1.8353744776962237,0.0
2019-11-01 05:05:14.189,24.1,23.87,61.05,off,0.0,0.0,Passive simulation: HVAC always off,1.8731653867871323,0.0
2019-11-01 05:05:19.189,24.1,23.91,61.05,off,0.0,0.0,Passive simulation: HVAC always off,1.9109562958780408,0.0
2019-11-01 05:05:24.189,24.7,23.95,60.93,off,0.0,0.0,Passive simulation: HVAC always off,1.9487696292113732,0.0
2019-11-01 05:05:29.189,24.7,23.99,60.93,off,0.0,0.0,Passive simulation: HVAC always off,1.9865829625447056,0.0
2019-11-01 05:05:34.189,24.07,24.02,61.02,off,0.0,0.0,Passive simulation: HVAC always off,2.024378162544707,0.0
2019-11-01 05:05:39.189,24.07,24.06,61.02,off,0.0,0.0,Passive simulation: HVAC always off,2.0621733625447085,0.0
2019-11-01 05:05:44.189,24.07,24.07,60.85,off,0.0,0.0,Passive simulation: HVAC always off,2.0666666666666664,0.0
2019-11-01 05:05:49.189,24.07,24.07,60.85,off,0.0,0.0,Passive simulation: HVAC always off,2.0666666666666664,0.0
2019-11-01 05:05:54.189,24.07,24.07,60.9,off,0.0,0.0,Passive simulation: HVAC always off,2.0666666666666664,0.0
2019-11-01 05:05:59.189,24.07,24.07,60.9,off,0.0,0.0,Passive simulation: HVAC always off,2.0666666666666664,0.0
2019-11-01 05:06:04.189,24.03,24.03,60.9,off,0.0,0.0,Passive simulation: HVAC always off,2.0333333333333314,0.0
2019-11-01 05:06:09.189,24.03,24.03,60.9,off,0.0,0.0,Passive simulation: HVAC always off,2.0333333333333314,0.0
2019-11-01 05:06:14.189,24.03,24.03,60.9,off,0.0,0.0,Passive simulation: HVAC always off,2.0333333333333314,0.0
2019-11-01 05:06:19.189,23.93,24.0,60.99,off,0.0,0.0,Passive simulation: HVAC always off,1.995531025641025,0.0
2019-11-01 05:06:24.189,23.93,23.96,61.05,off,0.0,0.0,Passive simulation: HVAC always off,1.957741425641025,0.0
2019-11-01 05:06:29.189,23.93,23.93,61.05,off,0.0,0.0,Passive simulation: HVAC always off,1.9333333333333371,0.0
2019-11-01 05:06:34.189,23.93,23.93,60.96,off,0.0,0.0,Passive simulation: HVAC always off,1.9333333333333371,0.0
2019-11-01 05:06:39.189,23.93,23.93,60.9,off,0.0,0.0,Passive simulation: HVAC always off,1.9333333333333336,0.0
2019-11-01 05:06:44.189,23.93,23.93,60.95,off,0.0,0.0,Passive simulation: HVAC always off,1.9333333333333336,0.0
2019-11-01 05:06:49.189,23.97,23.97,61.04,off,0.0,0.0,Passive simulation: HVAC always off,1.9666666666666686,0.0
2019-11-01 05:06:54.189,23.97,23.97,61.07,off,0.0,0.0,Passive simulation: HVAC always off,1.9666666666666686,0.0
2019-11-01 05:06:59.189,23.97,23.97,61.07,off,0.0,0.0,Passive simulation: HVAC always off,1.9666666666666686,0.0
2019-11-01 05:07:04.189,23.97,23.97,61.07,off,0.0,0.0,Passive simulation: HVAC always off,1.9666666666666686,0.0
2019-11-01 05:07:09.189,23.97,23.97,61.14,off,0.0,0.0,Passive simulation: HVAC always off,1.9666666666666686,0.0
2019-11-01 05:07:14.189,23.97,23.97,61.14,off,0.0,0.0,Passive simulation: HVAC always off,1.9666666666666686,0.0
2019-11-01 05:07:19.189,24.6,24.0,61.07,off,0.0,0.0,Passive simulation: HVAC always off,2.004452500000003,0.0
2019-11-01 05:07:24.189,23.97,23.97,61.16,off,0.0,0.0,Passive simulation: HVAC always off,1.9666837000000044,0.0
2019-11-01 05:07:29.189,23.93,23.93,61.2,off,0.0,0.0,Passive simulation: HVAC always off,1.9333333333333336,0.0
2019-11-01 05:07:34.189,23.93,23.93,61.2,off,0.0,0.0,Passive simulation: HVAC always off,1.9333333333333336,0.0
2019-11-01 05:07:39.189,23.93,23.93,61.2,off,0.0,0.0,Passive simulation: HVAC always off,1.9333333333333336,0.0
2019-11-01 05:07:44.189,23.93,23.93,61.27,off,0.0,0.0,Passive simulation: HVAC always off,1.9333333333333336,0.0
2019-11-01 05:07:49.189,23.93,23.93,61.27,off,0.0,0.0,Passive simulation: HVAC always off,1.9333333333333336,0.0
2019-11-01 05:07:54.189,24.57,23.97,61.12,off,0.0,0.0,Passive simulation: HVAC always off,1.9711093333333345,0.0
2019-11-01 05:07:59.189,24.57,24.01,61.15,off,0.0,0.0,Passive simulation: HVAC always off,2.0088801666666676,0.0
2019-11-01 05:08:04.189,24.57,24.05,61.15,off,0.0,0.0,Passive simulation: HVAC always off,2.0466510000000007,0.0
2019-11-01 05:08:09.189,24.57,24.08,61.15,off,0.0,0.0,Passive simulation: HVAC always off,2.0844218333333338,0.0
2019-11-01 05:08:14.189,24.57,24.12,61.08,off,0.0,0.0,Passive simulation: HVAC always off,2.1222066333333345,0.0
2019-11-01 05:08:19.189,24.57,24.16,61.14,off,0.0,0.0,Passive simulation: HVAC always off,2.1599791333333336,0.0
2019-11-01 05:08:24.189,24.57,24.2,61.14,off,0.0,0.0,Passive simulation: HVAC always off,2.1977516333333327,0.0
2019-11-01 05:08:29.189,24.57,24.24,61.14,off,0.0,0.0,Passive simulation: HVAC always off,2.2355241333333318,0.0
2019-11-01 05:08:34.189,24.53,24.27,61.15,off,0.0,0.0,Passive simulation: HVAC always off,2.27329413333333,0.0
2019-11-01 05:08:39.189,24.53,24.31,61.11,off,0.0,0.0,Passive simulation: HVAC always off,2.3110716333333308,0.0
2019-11-01 05:08:44.189,24.53,24.35,61.11,off,0.0,0.0,Passive simulation: HVAC always off,2.3488491333333315,0.0
2019-11-01 05:08:49.189,24.53,24.39,61.16,off,0.0,0.0,Passive simulation: HVAC always off,2.386617828985507,0.0
2019-11-01 05:08:54.189,24.53,24.42,61.16,off,0.0,0.0,Passive simulation: HVAC always off,2.424386524637683,0.0
2019-11-01 05:08:59.189,24.03,24.39,61.17,off,0.0,0.0,Passive simulation: HVAC always off,2.3866204376811595,0.0
2019-11-01 05:09:04.189,24.03,24.35,61.17,off,0.0,0.0,Passive simulation: HVAC always off,2.348854350724636,0.0
2019-11-01 05:09:09.189,24.03,24.31,61.17,off,0.0,0.0,Passive simulation: HVAC always off,2.311088263768113,0.0
2019-11-01 05:09:14.189,24.03,24.27,61.17,off,0.0,0.0,Passive simulation: HVAC always off,2.2733221768115897,0.0
2019-11-01 05:09:19.189,23.97,24.24,61.17,off,0.0,0.0,Passive simulation: HVAC always off,2.2355560898550664,0.0
2019-11-01 05:09:24.189,23.43,24.2,61.11,off,0.0,0.0,Passive simulation: HVAC always off,2.1977785898550657,0.0
2019-11-01 05:09:29.189,23.97,24.16,61.0,off,0.0,0.0,Passive simulation: HVAC always off,2.159978589855065,0.0
2019-11-01 05:09:34.189,24.13,24.13,60.95,off,0.0,0.0,Passive simulation: HVAC always off,2.1333333333333364,0.0
2019-11-01 05:09:39.189,24.13,24.13,60.95,off,0.0,0.0,Passive simulation: HVAC always off,2.1333333333333364,0.0
2019-11-01 05:09:44.189,24.13,24.13,60.95,off,0.0,0.0,Passive simulation: HVAC always off,2.1333333333333364,0.0
2019-11-01 05:09:49.189,24.13,24.13,60.95,off,0.0,0.0,Passive simulation: HVAC always off,2.1333333333333364,0.0
2019-11-01 05:09:54.189,24.13,24.13,60.86,off,0.0,0.0,Passive simulation: HVAC always off,2.1333333333333364,0.0
2019-11-01 05:09:59.189,23.53,24.1,60.91,off,0.0,0.0,Passive simulation: HVAC always off,2.0955149333333374,0.0
2019-11-01 05:10:04.189,23.53,24.06,60.91,off,0.0,0.0,Passive simulation: HVAC always off,2.0576965333333384,0.0
2019-11-01 05:10:09.189,23.53,24.02,60.97,off,0.0,0.0,Passive simulation: HVAC always off,2.01988986666667,0.0
